,sentence,open_q,close_q,affirm,reflect,sd,b,sv,%,aa,ba,qy,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,"fo_o_fw_""_by_bc",na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,t1,bd,^g,qw^d,fa,ft
0,Sorry was that unexpected unexpected.,0,0,0,0,0.027222967,0.001401662,0.001961844,0.002272266,0.004410161,0.007942539,0.014982404,0.007060347,0.006009268,0.002108583,0.000937556,0.00201317,0.003935098,0.000351732,0.004319428,0.005819967,0.000998675,0.050580822,0.000849549,0.220739096,0.000217874,0.001213086,0.002197052,0.025828108,0.005185133,0.005189081,0.000530164,0.040561952,0.002309535,0.001917484,0.00068333,0.01119109,0.002414376,0.013709795,0.002455001,0.000967269,0.000179649,0.000396126,0.000317635,0.515737832,0.000881235
1,"Okay,
was a young person.",0,0,0,0,0.693211913,0.002382425,0.22156921,0.004697023,0.016413443,0.007534121,0.004045249,0.001062819,0.002120865,0.000566523,0.000150881,0.000426484,0.000957969,0.007423289,0.000150554,0.001745025,0.011289172,0.000593462,0.007721284,0.00075546,0.007259026,0.003021018,0.000116875,0.000630054,0.000334378,0.000319151,0.001563937,0.000250362,0.000360036,0.000108553,6.51E-05,0.000364495,0.000113611,0.000139025,0.000186477,9.94E-05,6.78E-05,2.67E-05,0.000124971,1.69E-05,1.50E-05
2,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
3,"
I'm sorry to hear about your loss.",0,0,0,0,0.416882634,0.016191304,0.050322834,0.023393357,0.071901605,0.065217391,0.03748183,0.014058089,0.024907909,0.021956589,0.002937707,0.00574384,0.003654316,0.003460953,0.009477287,0.010765919,0.005305056,0.045636099,0.007272649,0.048829235,0.002433158,0.003243463,0.007795679,0.026182592,0.00581321,0.004042434,0.000567409,0.039280515,0.00170252,0.001572693,0.000379006,0.002517892,0.001946515,0.002001866,0.000895946,0.001021376,0.000173612,0.000350125,0.000669036,0.011824676,0.000189703
4,"Oh that's Boy,
that's so fresh.",0,0,0,0,0.012296261,0.67006737,0.008954591,0.12050727,0.008649741,0.012435738,0.001875304,0.002042347,0.008960905,0.002052755,0.000863598,0.086106546,0.001567112,0.001894073,0.004898971,0.001700465,0.005620738,0.00581156,0.002129247,0.005875046,0.002988835,0.006178229,0.002404127,0.001760086,0.012226397,0.000644245,0.000491124,0.000493387,0.000861673,0.000618245,7.02E-05,0.001076432,0.000831299,0.001229324,0.000206156,0.001347265,0.001113353,0.000202477,0.00044481,0.000159449,0.000343204
5,"
How close were you to her.",0,0,0,0,0.034846712,0.001254409,0.014908699,0.002344129,0.001180883,0.00982917,0.026797162,0.000839197,0.004148234,0.472774506,0.002123193,0.004049581,0.00136993,0.010488706,0.008712457,0.019290444,0.011117653,0.004662716,0.004397123,0.034627769,0.009461691,0.008042932,0.216871515,0.026807444,0.006951329,0.002489457,0.001057697,0.005573863,0.002441771,0.002796853,0.002663264,0.006226812,0.007663945,0.004149502,0.002379625,0.013134821,0.002137036,0.000485526,0.006431458,0.000660954,0.001809836
6,"
And
that's nice.",0,0,0,0,0.481407642,0.010729342,0.216990456,0.12134055,0.008344753,0.006605109,0.007117203,0.000960453,0.010839825,0.007210933,0.00108929,0.001944153,0.016856549,0.007951988,0.001126727,0.009536334,0.011339638,0.004937014,0.006558222,0.007327182,0.010617708,0.006946117,0.000935306,0.009635883,0.006582813,0.003019552,0.002036528,0.00104893,0.001226221,0.000883566,0.00128343,0.002831081,0.001494885,0.001875379,0.001346125,0.002721993,0.00177151,0.000943405,0.001862603,0.000367573,0.000355894
7,"
I don't know if you feel up for talking and just kind of want to sync.",0,0,0,0,0.345407724,0.000421959,0.601361752,0.000831291,0.001882132,0.002177541,0.002228045,0.000149426,0.006097315,0.000141849,1.62E-05,0.000284694,0.000464238,0.027986282,1.79E-05,0.001138864,0.006782219,0.000223248,8.74E-05,0.001208971,0.000455981,0.0001079,8.69E-05,0.000108306,5.79E-05,5.69E-05,3.23E-05,9.02E-06,4.54E-05,4.89E-06,9.60E-07,2.76E-05,2.03E-05,2.22E-05,8.55E-06,7.95E-07,2.14E-06,9.46E-07,3.43E-05,5.22E-07,7.05E-06
8,And you know answer any questions that you have about your health.,0,0,0,0,0.391942263,0.00025878,0.496541798,0.001002718,0.000670108,0.003623443,0.016068641,0.000206237,0.000916272,0.000388694,3.56E-05,0.000353555,0.001032842,0.039548893,0.000458288,0.006496736,0.006046325,0.001269407,0.000227348,0.025625708,0.002633624,0.00044735,0.000741371,0.001276125,0.000694964,0.000121398,0.000138268,0.000133568,0.000210751,1.12E-05,2.63E-05,0.000122629,0.000138447,0.000369699,7.79E-05,8.57E-06,4.71E-05,5.40E-06,6.79E-05,5.36E-06,8.58E-06
9,"So, I just want to be sensitive to your recent loss.",0,0,0,0,0.228391513,0.000228674,0.758258343,0.000482236,0.002205094,0.001844178,0.001275001,0.000218244,0.00137996,2.86E-05,4.77E-06,5.15E-05,8.10E-05,0.000475129,5.89E-06,0.002525266,0.001185331,0.000153395,7.14E-05,0.00036367,0.000459583,4.03E-05,6.15E-06,8.10E-05,5.14E-05,1.26E-05,1.62E-05,3.24E-06,1.19E-05,4.57E-06,4.20E-07,2.33E-05,7.48E-06,3.98E-05,5.65E-06,1.02E-06,1.60E-06,2.25E-07,3.15E-06,1.49E-07,1.03E-06
10,"Usually, you're talking about the new medication The,
the jardiance.",0,0,0,0,0.795480609,0.003206415,0.076321103,0.003570331,0.014182473,0.005479503,0.017438058,0.000706565,0.011173495,0.000483297,6.45E-05,0.001122689,0.000199746,0.007722085,0.000120465,0.000515774,0.052547988,0.001133571,0.001559402,0.000769802,0.003898641,0.001066438,0.000124526,8.11E-05,7.90E-05,0.000106827,7.96E-05,0.000156817,0.000118824,4.95E-05,2.00E-05,0.000126414,0.000134322,3.31E-05,1.68E-05,8.02E-06,5.32E-06,1.51E-05,2.40E-05,1.37E-05,4.43E-05
